"st","CYQ","year","quarter","Benefit","Benefit_12_Month","High_Benefit","Low_Benefit","Benefit_rank","High_Benefit_Date","Low_Benefit_Date","Initial_Claim","Initial_Claim_12_Month","High_Initial_Claim","Low_Initial_Claim","Initial_Claim_rank","High_Initial_Claim_Date","Low_Initial_Claim_Date","First_Payment","First_Payment_12_Month","High_First_Payment","Low_First_Payment","First_Payment_rank","High_First_Payment_Date","Low_First_Payment_Date","Weeks_Claimed","Weeks_Claimed_12_Month","High_Weeks_Claimed","Low_Weeks_Claimed","Weeks_Claimed_rank","High_Weeks_Claimed_Date","Low_Weeks_Claimed_Date","Weeks_Compensated","Weeks_Compensated_12_Month","High_Weeks_Compensated","Low_Weeks_Compensated","Weeks_Compensated_rank","High_Weeks_Compensated_Date","Low_Weeks_Compensated_Date","Exhaustions","Exhaustions_12_Month","High_Exhaustions","Low_Exhaustions","Exhaustions_rank","High_Exhaustions_Date","Low_Exhaustions_Date","Exhaustion_Rate","High_Exhaustion_Rate","Low_Exhaustion_Rate","Exhaustion_Rate_rank","High_Exhaustion_Rate_Date","Low_Exhaustion_Rate_Date","Average_Duration","High_Average_Duration","Low_Average_Duration","Average_Duration_rank","High_Average_Duration_Date","Low_Average_Duration_Date","AWBA","AWBA_12_Month","High_AWBA","Low_AWBA","AWBA_rank","High_AWBA_Date","Low_AWBA_Date","Replacement_Rate","Extended_Benefit","Extended_Benefit_12Mon","Hi_Extended_Benefit","Extended_Benefit_Rank","Hi_EB_Date","EB_First_Payment","EB_First_Payment_12Mon","Hi_EB_First_Payment","EB_First_Payment_Rank","Hi_EB_First_date","EB_Weeks_Claimed","EB_Weeks_Claimed_12Mon","Hi_EB_Weeks_Claimed","EB_Weeks_Claimed_Rank","Hi_EB_Weeks_Claimed_Date","EB_Exh","EB_Exh_12Mon","Hi_EB_Exh","EB_Exh_Rank","Hi_EB_Exh_Date","Avg_Ben_Fir_Pay_12Month","Avg_Ben_Fir_Pay_12Month_rank","Replacement_Rate_Rank","State_Revenue","State_Revenue_Rank","State_Benefit","State_Benefit_Rank","Total_Wages","Total_Wages_Rank","Taxable_Wages","Taxable_Wages_Rank","AWW","AWW_Rank","Rate_On_Taxable_Wages","Rate_On_Taxable_Wages_Rank","Rate_On_Total_Wages","Rate_On_Total_Wages_Rank","TWB","TWB_Rank","TFBalance","TFBalance_Rank","TFPCTW","TFPCTW_Rank","HCM","HCM_Rank","Month_Benefit","Month_Benefit_Rank","Loans","Loans_Rank","Non_interest_Loans","nilork","interest_Loans","intlor","LPCE","LPCE_Rank","CYQ_Taxable_Wages","CYQ_Total_Wages","IUR","IUR_Rank","TUR","TUR_Rank","Total_Unemployment","Total_Unemployment_Rank","Regular_Program","Regular_Program_Rank","Rec_Rate_Regular","Rec_Rate_Regular_Rank","All_Program","All_Program_Rank","Rec_Rate_All","Rec_Rate_All_Rank","Covered_Employment","Covered_Employment_Rank","Civlian_Labor_Force","Civlian_Labor_Force_Rank","st_name","lag2first_payment","staxemp2","AHCM","AHCM_Rank","staxemp","staxemp_Rank","Est_Total_Wage","IUR_12Mon","TUR_12Mon","All_Program_12Mon","Regular_Program_12Mon","Total_Unemployment_12Mon","Covered_Employment_12Mon","Civlian_Labor_Force_12Mon","Rec_Rate_All_12Mon","Rec_Rate_Regular_12Mon","Sub_Employer","Sub_Employer_12Mon","Sub_Employer_Rank","Interest","LPCTW","LPCTW_Rank","Interest_Rank","Bond_Amount","Bond_Date"
"TX","2018.1",2018,1,557357.411,2389234.84,1099829.121,15272.665,6,2009.3,1973.4,175732,843938,342271,59052,4,2009.1,1973.3,89045,415117,196709,24909,5,2009.2,1973.2,1633565,7275504,3784483,307115,5,2009.3,1973.2,1448665,6252624,3487249,306120,5,2009.3,1973.4,42751,177142,126250,9367,2,2009.3,1973.4,0.401823770259388,0.671707019875174,0.297119713800779,11,2002.1,1982.2,15.0623173707654,19.23,10.72,25,2010.2,1975.1,400.818113137647,398.267265290096,408,40.9,11,2016.2,1971.3,37.6814374745583,0,0,216637.047,31,2010.3,0,0,53396,28,2009.3,0,0,774814,30,2010.4,0,0,34015,29.5,2010.4,5755.56973094332,16,23,2654659.97136,4,2389234.84,2,645945361.697,2,108716983.249,2,1056.93225094981,13,2.55552513045431,14,0.506839150570821,32,9000,42,695414.497,24,0.125438968567016,52,"N.A.","N.A.",3.49273910805687,51,0,27.5,0,1,1,1,0,27.5,12497999.699,156905617.488,1.07690604224608,35,4.13715473511664,30,569.123333333333,2,127.517230769231,5,22.4059045378385,37,127.517230769231,5,22.4059045378385,37,11782.387,2,13756.3946666667,2,"Texas",131062,548160067.128,"N.A.","N.A.",132614103.65,2,554384737.808549,1.20095384571242,4.10666041818248,142.142365384615,142.142365384615,558.83625,11752.90675,13608.3949166667,25.4354232361654,25.4354232361654,546.233,538.40275,2,4690.28542,0,27.5,22,0,"N.A."
"US","2018.1",2018,1,8781838.615,29301947.087,21880362.971,860035.039,NA,2009.2,1973.3,3147922,12364279,8543495,2675552,NA,2009.1,1973.2,1691970,5554737,4764523,1074462,NA,2009.1,1973.2,28074528,98953465,80012897,14569446,NA,2009.2,1973.3,25061772,85502672,72291665,15351045,NA,2009.2,1973.3,525082,2085612,2324624,332910,NA,2009.3,1973.4,0.361426127721533,0.557731546858368,0.258040566520135,NA,2010.1,1979.2,15.392748927627,20.12,12.42,NA,2010.1,1975.1,359.884674485525,352.613890901771,359.9,52.6,NA,2018.1,1971.3,33.8551666466719,3145.071,4797.221,3696077.474,NA,2010.4,3,9,1212928,NA,1975.3,13484,20907,12656140,NA,2010.4,848,888,836757,NA,1975.4,5275.12771297723,NA,NA,38438582.89388,NA,29301958.1224615,NA,7660008158.457,NA,1634932533.933,NA,1041.53642066457,NA,2.22327689281212,NA,0.585760279908619,NA,13781.7880897493,NA,53785433.33,NA,0.856030800617804,NA,"N.A.","N.A.",22.0266925658969,NA,78548.45553,NA,0,1,1,1,0.55392280456172,NA,234185072.166,1857028092.916,1.54659480826746,NA,4.33697179964354,NA,6983.66666666667,NA,2179.47753846154,NA,31.208212569255,NA,2180.53,NA,31.223282898191,NA,141803.975,NA,161026.333333333,NA,"United States",1298400,6205452723.027,"N.A.","N.A.",1503879508.207,NA,6283118935.81196,1.35484764759961,4.22065522211997,1922.94973076923,1922.54213461538,6784.83333333333,141433.2195,160737.166666667,28.3418860316279,28.3358785715501,8285.824,8303.20375,NA,301318.557,0.00126579734043456,NA,NA,0,"N.A."
"UT","2018.1",2018,1,49934.253,150292.686,139427.654,3255.908,29,2009.2,1973.3,15349,60169,48321,10043,40,2009.1,1971.2,9790,30830,32959,4234,37,2009.1,2006.3,142334,467319,499265,74763,39,2009.2,1973.3,126665,386308,441661,60361,39,2009.2,1973.3,2464,8739,15073,1303,40,2009.3,1973.3,0.261294662879354,0.556908244137593,0.204572603272495,45,2010.1,1978.3,12.5302627311061,17.23,10.74,42,2010.1,1996.3,401.105893028352,395.930153435254,401.1,44.1,10,2018.1,1971.2,45.1266008718933,0,0,8308.537,31,1983.2,0,0,8136,28,1983.1,0,0,70305,30,1983.2,0,0,5304,29.5,1983.2,4874.88439831333,25,4,190271.12445,37,150292.686,35,63075560.054,31,30060448.632,19,877.37641609487,33,0.615009523853869,53,0.35528406261732,43,33100,8,1065237.478,16,2.00460280765517,11,"0.99","8",85.0530393475036,5,0,27.5,0,1,1,1,0,27.5,6024707.256,15761253.8,0.802091182801322,43,3.26232585183784,46,51.5806666666667,35,11.2276923076923,39,21.7672493072837,38,11.2276923076923,39,21.7672493072837,38,1397.551,31,1581.101,31,"Utah",5757,52035720.555,"1.75","5",12967938.221,33,53139578.2711705,0.659074759542323,3.17434619327208,9.21423076923077,9.21423076923077,49.867,1382.52125,1571.22308333333,18.4776119863452,18.4776119863452,83.622,81.31425,30,5996.83324,0,27.5,18,0,"N.A."
"VA","2018.1",2018,1,86358.755,326586.917,320673.768,2737.536,22,2009.2,1972.4,39840,159974,189329,17540,21,1991.1,1973.2,19147,67697,96342,5286,23,1975.1,1973.3,338465,1318939,1192693,48357,22,2009.2,1972.4,284965,1076566,1032155,52602,22,2009.2,1972.4,7075,28489,35738,1301,20,2009.3,1972.4,0.38407301553063,0.533546733322281,0.143039184453648,14,2010.1,1990.3,15.9027135619008,17,7.5,18,2010.1,1990.1,309.025183015011,309.352148962655,313.8,45.6,36,2002.2,1971.3,29.608460977838,0,0,33385.299,31,2009.4,0,0,14806,28,1975.3,2,3,140013,5,2009.4,0,0,10906,29.5,1975.4,4824.24504778646,27,38,487606.94906,23,326586.917153846,19,198157519,13,29230818.894,22,1044.80995886347,14,1.6169104147028,29,0.285342516904659,47,8000,47,1116572.668,13,0.666508301703339,39,"0.51","25",41.0269711324658,25,0,27.5,0,1,1,1,0,27.5,3232230.168,48392159.402,0.72360314064693,45,3.42867954257718,42,148.057,14,26.5670769230769,22,17.9438168563978,44,26.5676153846154,22,17.9441805416937,44,3659.405,12,4318.193,12,"Virginia",16760,165638181.133,"0.92","26",40408605.98,13,167525695.500937,0.699949452146806,3.57197713593747,25.9882884615385,25.9879615384615,154.254833333333,3647.28675,4317.71891666667,16.8476331664628,16.8474212294558,220.854,219.73675,13,6358.19792,0,27.5,13,0,"N.A."
"VI","2018.1",2018,1,11739.026,23648.271,11739.026,277.299,53,2018.1,1988.1,543,6736,4084,353,53,1995.4,2000.1,1413,5086,3838,107,53,1995.4,1978.1,43581,90576,43581,3315,52,2018.1,1988.1,40759,81487,40759,2660,52,2018.1,1988.1,685,1118,1170,51,50,1994.2,1978.1,0.839339339339339,0.839339339339339,0.205211726384365,1,2018.1,1991.1,16.0218246165946,41.34,10.94,17,1978.1,1991.1,298.504359786163,300.253276242377,377.5,62.6,37,2013.1,1978.4,39.9395969096656,0,0,264.663,31,1982.3,0,0,426,28,1982.3,0,0,2958,30,1982.3,0,0,104,29.5,1980.4,4649.67970900511,29,16,NA,53,23648.271,53,1460436.451,53,562941.271,53,751.768418999026,51,1.56027821239633,32,0.923306680991094,10,23500,15,1205.01302,53,0.126039942271323,51,"N.A.","N.A.",0.611467799908078,52,78548.45553,1,0,1,1,1,2131.63058780428,1,105263.222,355804.437,8.89580632979863,1,NA,53,NA,53,3.36038461538462,52,NA,53,3.36038461538462,52,NA,53,36.849,53,NA,53,"Virgin Islands",262,951303.633,"N.A.","N.A.",222547.457,53,956056.467723542,4.65621650411162,NA,1.74803846153846,1.74803846153846,NA,37.359,NA,NA,NA,3.707,3.6495,51,0,8.25692794657918,1,53,0,"N.A."
"VT","2018.1",2018,1,25481.161,66329.355,60013.475,2018.49,47,2009.1,1973.3,8127,31606,21291,4417,48,1982.4,1988.3,5421,14931,14565,2057,47,2009.1,1988.3,73704,221325,217025,34188,49,2009.1,1988.3,72677,200533,198291,29653,49,2009.1,1988.3,553,2318,4369,400,52,2009.3,1989.1,0.149374919448383,0.37397192150262,0.124093233440362,52,1976.1,1987.4,13.4306476458375,19.17,11.38,36,2010.1,1989.4,371.766903390496,356.63929317832,371.8,53.5,18,2018.1,1971.1,41.0491554980625,0,0,2478.51,31,1991.2,0,0,3054,28,1975.3,0,0,29626,30,1975.3,0,0,2000,29.5,1975.4,4442.39200321479,32,13,139727.91598,43,66329.355,49,13645333.09,51,3706141.027,52,868.810305233084,37,3.65286811844789,3,1.43500204465391,1,17300,20,380926.702,41,4.03896212407323,2,"1.26","2",68.9154963741167,7,0,27.5,0,1,1,1,0,27.5,530884.52,3368785.772,1.89599549924872,18,3.12388987992941,49,10.8456666666667,52,5.68515384615385,49,52.4186665594907,7,5.68515384615385,49,52.4186665594907,7,302.738,51,347.184666666667,51,"Vermont",2507,9434163.84,"2.02","3",2336775.688,51,9431301.66360266,1.41430186288626,2.899536017566,4.27221153846154,4.27221153846154,10.0245833333333,302.034,345.640083333333,42.6173477380927,42.6173477380927,22.796,22.742,48,2158.34186,0,27.5,41,0,"N.A."
"WA","2018.1",2018,1,283383.942,1046311.16,658119.692,28236.173,11,2009.2,1972.3,85090,321481,211746,68545,11,2008.4,2017.3,42286,144585,111654,26788,12,2009.1,1979.2,702503,2479004,1883298,384963,11,2009.2,1973.3,618711,2136961,1732957,353807,11,2009.2,1979.3,10374,40592,48148,5488,11,2009.3,1979.3,0.271193687825279,0.505705191767872,0.191716200355885,41,2010.2,1980.1,14.779963343362,21.72,12.41,29,1971.1,1979.4,476.815078625927,505.434153146091,599,57.8,3,2017.3,1972.3,43.1846569475687,0,1.65,104997.53,31,2010.4,0,0,31580,28,1993.4,0,0,262331,30,2010.4,0,1,17863,29.5,1983.1,7236.65082823253,4,8,1109757.73742,10,1046311.16,8,194542041.414,14,87278335.333,5,1170.40214944801,7,1.12526919338328,44,0.634383370741852,25,45000,1,4292348.809,1,2.6926461155345,6,"0.71","17",49.2283631075865,20,0,27.5,0,1,1,1,0,27.5,17893110.735,51142148.861,1.73182896998525,21,5.21562259089737,6,195.861666666667,12,55.1196153846154,11,28.1421149542357,25,55.1196153846154,11,28.1421149542357,25,3275.157,14,3755.28833333333,13,"Washington",30487,154814307.136,"1.25","14",41066192.936,12,159410060.766487,1.51013775753773,4.74064830461271,48.6496153846154,48.6496153846154,177.475833333333,3196.50225,3743.101,27.4119661651298,27.4119661651298,253.544,243.82975,7,24225.05482,0,27.5,1,0,"N.A."
"WI","2018.1",2018,1,161304.614,414717.143,577203.085,13880.929,13,2009.1,1973.3,93844,299829,304168,39727,8,2009.1,1973.2,43450,111525,156184,15946,10,2009.1,1973.2,640018,1766493,2318143,284655,12,2009.1,1973.3,531106,1426721,2191288,221033,13,2009.1,1973.3,4465,18767,51683,3847,28,2009.3,1973.3,0.156854387108637,0.398372970858168,0.156854387108637,51,2010.1,2018.1,12.7928356870657,18.36,10.91,41,2010.2,2001.1,327.917701404537,318.409981747022,327.9,57,31,2018.1,1971.3,35.4555984485698,0,0,61875.539,31,2010.4,0,0,41895,28,1982.4,1,1,285588,6,1983.2,0,0,29044,29.5,1983.2,3718.60249271464,38,29,694349.70695,15,414717.143076923,16,131460220.785,21,32214803.008,17,898.052763681009,30,2.10783963146189,19,0.664609111387878,22,14000,26,1406109.766,10,1.36569513138846,21,"0.45","27",40.686326757416,26,0,27.5,0,1,1,1,0,27.5,4029262.385,32145568.677,1.78303592666201,19,3.20991945557999,47,101.336333333333,23,49.3696153846154,12,48.7185728560163,9,49.3696923076923,12,48.7186487647002,9,2833.769,18,3156.97433333333,19,"Wisconsin",18704,102170790.825,"0.78","33",25079341.101,21,102959272.071978,1.21393941453017,3.10519962804441,34.0745192307692,34.0745,98.1696666666667,2815.06975,3160.995,34.7098247226087,34.7098051332896,143.567,141.8095,18,8081.30757,0,27.5,11,0,"N.A."
"WV","2018.1",2018,1,48113.813,143766.368,98566.196,3940.463,33,1983.1,1971.3,17500,58125,70342,11385,36,1977.1,2017.3,13129,35221,53519,6431,32,1977.1,2017.3,187067,595289,785624,79193,31,1983.1,1973.3,169233,520069,723321,106340,32,1983.1,1973.3,2347,9822,14289,1743,41,1983.2,1971.2,0.268075002046999,0.421078650251961,0.12315307485214,42,1983.3,1979.1,14.7658783112348,21.66,9.25,30,1983.4,1971.1,293.036378133571,285.075042046469,317.4,36.1,39,2016.2,1971.1,35.470171558821,0,0,18296.437,31,1983.2,0,0,13371,28,1983.2,0,0,125672,30,1983.2,0,0,8938,29.5,1983.3,4081.83663155504,35,28,200434.70751,35,143766.368,38,27564143.808,42,6592544.894,45,803.703589574476,47,2.86929953517887,9,0.928944489610246,9,12000,33,61184.3689,51,0.297290082231861,49,"0.1","48",5.10698320486193,50,0,27.5,0,1,1,1,0,27.5,887430.965,6796004.468,2.20425773697211,14,6.07323079131429,3,47.3866666666667,38,14.4925384615385,31,30.5835786329596,24,14.4925384615385,31,30.5835786329596,24,650.797,40,780.254666666667,40,"West Virginia",6431,20362880.895,"0.25","46",5129338.698,42,20580696.2817823,1.73573758325543,5.22646578374375,11.5350576923077,11.5350576923077,40.81875,659.54625,781.0385,28.2592134553549,28.2592134553549,35.849,35.78475,41,414.46264,0,27.5,51,0,"N.A."
"WY","2018.1",2018,1,18805.446,56561.21,47894.729,281.671,49,2009.2,1974.3,5799,22531,19704,1135,51,1983.1,1974.3,3582,10411,10956,440,51,1983.1,1974.3,53508,168993,214406,6435,51,1983.1,1974.3,51118,153914,180987,5338,50,1983.1,1974.3,912,3566,5042,137,49,1983.2,1974.4,0.289401071254666,0.57244061140415,0.171368124118477,37,2010.1,1979.4,14.7837863797906,19.65,9.4,28,1987.3,1972.4,375.144574973882,375.863183392474,423.1,47.5,17,2016.2,1971.3,43.2591480434968,0,0,5173.621,31,1983.2,0,0,4378,28,1983.2,0,0,35445,30,1983.2,0,0,2920,29.5,1983.2,5432.8316204015,20,7,65603.06097,50,56561.21,50,11822302.019,52,4623887.877,51,868.864044697658,36,1.45246329034202,35,0.749247135207366,15,25400,13,296737.9973,45,3.28183782596613,4,"1.12","4",62.9557954576997,12,0,27.5,0,1,1,1,0,27.5,882570.086,2980120.454,1.61938222692597,22,4.34579828626186,26,12.517,51,4.28092307692308,51,34.2008714302395,21,4.28092307692308,51,34.2008714302395,21,267.992,52,288.025333333333,52,"Wyoming",1498,8963701.14,"2.17","2",2307920.603,52,9041823.91196142,1.24238181060317,3.9813396584889,3.33998076923077,3.33998076923077,11.62175,261.66575,292.055333333333,28.7390519433886,28.7390519433886,22.629,22.6785,49,1681.34364,0,27.5,46,0,"N.A."
